"room","party","build","motor","status","seconds","damage","travel","stationary","boundary","cells","fieldCells","exposure","stalled","close","falls","peakFields","peakPacket"
"split","1","basin","stationary","victory","46,88","98","0,00020329796917599154","46,883333333331954","0","2","13","19,25","2","0","0","1","5429"
"split","1","basin","back-wall","victory","43,85","98","8,442017316961597E-06","43,84999999999879","43,84999999999879","1","11","19","0","0","0","1","5406"
"split","1","basin","corner","defeat","26,25","100","2,697398300928996E-07","26,24999999999979","26,24999999999979","1","7","26,25","25","0","0","1","5294"
"split","2","base","move","victory","12,53","26","149,60389797715106","0,4333333333333333","8,466666666666667","55","0","12,75","0,25","0","0","0","5809"
"split","2","base","stationary","victory","50,52","108","0,001999742472421571","101,03333333332888","0","4","0","19","0","0","0","0","5862"
"split","2","base","back-wall","victory","17,45","94","0,00031864942189915787","34,8999999999993","34,8999999999993","2","0","10,5","0","0","0","0","6034"
"split","2","base","corner","defeat","49,22","200","1,0163168183889242E-06","98,43333333332903","98,43333333332903","1","0","49,25","47,75","0","0","0","5946"
"split","2","reaction","move","victory","9,18","26","104,23711740173827","0,6333333333333336","7,14999999999998","37","0","9,25","0,25","0","0","0","5744"
"split","2","reaction","stationary","defeat","56,77","200","0,00010854868101923371","113,53333333332817","0","4","0","35,75","0","0","0","0","5204"
"split","2","reaction","back-wall","defeat","48,42","200","0,0005622406928542487","96,83333333332912","96,83333333332912","2","0","29,5","0","0","0","0","5578"
"split","2","reaction","corner","defeat","28,33","200","1,0163168183889242E-06","56,66666666666473","56,66666666666473","1","0","28,5","27","0","0","0","5312"
"split","2","field","move","victory","12,48","2","148,77394119041588","0,3333333333333333","9,416666666666714","48","13","12,5","0,25","0","0","4","7084"
"split","2","field","stationary","victory","63,48","100","0,0001964059274181595","126,96666666666074","0","4","18","44,25","0","0","0","4","6813"
"split","2","field","back-wall","victory","33,22","70","0,0003886719672683111","66,43333333333085","66,43333333333085","2","19","33,25","0","0","0","4","7174"
"split","2","field","corner","defeat","71,2","200","1,0163168183889242E-06","142,40000000000546","142,40000000000546","1","7","71,25","69,75","0","0","4","6839"
"split","2","structure","move","victory","5,38","0","65,04151864247146","0,18333333333333332","2,249999999999997","32","1","5,5","0","0","0","1","7140"
"split","2","structure","stationary","victory","5,6","0","3,9049665211128245E-05","11,200000000000136","0","4","0","5,75","0","0","0","0","6642"
"split","2","structure","back-wall","victory","8,83","42","0,00010972222971948298","17,666666666666945","17,666666666666945","2","0","8,5","0","0","0","0","7097"
"split","2","structure","corner","defeat","51,3","200","1,0163168183889242E-06","102,59999999999546","102,59999999999546","1","0","51,5","50","0","0","0","7807"
"split","2","basin","move","victory","5,68","0","65,60029305995856","0,15","4,499999999999989","31","15","5,75","0,75","0","0","2","7244"
"split","2","basin","stationary","victory","71,38","42","0,00030786661314813996","142,76666666667242","0","4","20","8,75","0,5","0","0","2","6791"
"split","2","basin","back-wall","victory","13,75","56","0,00016598901438745175","27,49999999999972","27,49999999999972","2","11","10","0,25","0","0","2","6786"
"split","2","basin","corner","defeat","49,22","200","1,0163168183889242E-06","98,43333333332903","98,43333333332903","1","13","49,25","47,75","0","0","2","6984"
"gallery","1","base","move","victory","22,68","26","139,27623187002033","0,35","4,766666666666655","40","0","22,75","0","0","0","0","5117"
"gallery","1","base","stationary","defeat","18,42","100","0,00013208389282226562","18,416666666666902","0","2","0","18,5","10,5","0","0","0","4800"
"gallery","1","base","back-wall","defeat","81,33","100","0,0007772117275584503","81,33333333333","81,33333333333","1","0","35,25","76,25","0","0","0","4562"
"gallery","1","base","corner","defeat","18,83","100","2,6973982946486263E-07","18,833333333333545","18,833333333333545","1","0","19","0","0","0","0","5167"
"gallery","1","reaction","move","victory","16,35","0","97,07723608260743","0,15","3,1999999999999935","29","0","15","0","0","0","0","5097"
"gallery","1","reaction","stationary","defeat","18,42","100","0,00013208389282226562","18,416666666666902","0","2","0","18,5","2,5","0","0","0","4453"
"gallery","1","reaction","back-wall","defeat","79,18","100","0,0007564693111766144","79,18333333333013","79,18333333333013","1","0","33","74","0","0","0","4461"
"gallery","1","reaction","corner","defeat","18,83","100","2,6973982946486263E-07","18,833333333333545","18,833333333333545","1","0","19","0","0","0","0","4720"
"gallery","1","field","move","victory","14,25","34","89,23664605394691","0,3833333333333333","2,499999999999996","30","12","14,25","0","0","0","2","5457"
"gallery","1","field","stationary","active","100","84","0,0007157325744628906","99,99999999999561","0","2","7","41,25","1,5","0","0","2","5359"
"gallery","1","field","back-wall","defeat","66,28","100","0,0006334453243602081","66,28333333333086","66,28333333333086","1","10","20,25","8,25","0","0","2","5327"
"gallery","1","field","corner","defeat","19,6","100","2,6973982946486263E-07","19,60000000000017","19,60000000000017","1","6","19,75","0","0","0","2","5307"
"gallery","1","structure","move","victory","10,55","0","60,77889679427532","0,3","1,7166666666666655","23","0","9,5","0","0","0","0","5721"
"gallery","1","structure","stationary","defeat","18,67","100","0,00013399124145507812","18,666666666666888","0","2","0","18,75","0","0","0","0","5802"
"gallery","1","structure","back-wall","defeat","64,13","100","0,0006131797451365753","64,13333333333098","64,13333333333098","1","0","18","0","0","0","0","5752"
"gallery","1","structure","corner","defeat","18,83","100","2,6973982946486263E-07","18,833333333333545","18,833333333333545","1","0","19","0","0","0","0","6101"
"gallery","1","basin","move","victory","17,35","0","97,04408847769923","0,31666666666666665","2,0999999999999974","24","15","16","8","0","0","1","5834"
"gallery","1","basin","stationary","defeat","18,42","100","0,00013208389282226562","18,416666666666902","0","2","6","18,5","0,25","0","0","1","5549"
"gallery","1","basin","back-wall","defeat","64,13","100","0,0006131797451365753","64,13333333333098","64,13333333333098","1","12","18","38,25","0","0","1","5334"
"gallery","1","basin","corner","defeat","18,83","100","2,6973982946486263E-07","18,833333333333545","18,833333333333545","1","6","19","0","0","0","1","5776"
"gallery","2","base","move","victory","13,43","52","177,52258601623774","0,6000000000000002","6,1499999999999835","44","0","13","0","4","0","0","5870"
"gallery","2","base","stationary","active","100","100","0,0004960874753312482","200,0000000000513","0","3","0","18,5","0","0","0","0","5848"
"gallery","2","base","back-wall","active","100","100","0,0012306948826297697","200,0000000000513","200,0000000000513","2","0","19,25","4","0","0","0","6090"
"gallery","2","base","corner","active","100","198","5,144226596439443E-06","200,0000000000513","200,0000000000513","1","0","35","0","0","0","0","6334"
"gallery","2","reaction","move","victory","10,48","0","126,29868032609211","0,3","3,766666666666658","32","0","9,75","0","1,25","0","0","6196"
"gallery","2","reaction","stationary","active","100","140","0,0004960874753312482","200,0000000000513","0","3","0","24,75","0","0","0","0","5608"
"gallery","2","reaction","back-wall","active","100","100","0,0012306948826297697","200,0000000000513","200,0000000000513","2","0","19,25","94,75","0","0","0","5400"
"gallery","2","reaction","corner","defeat","37,68","200","5,144226596439443E-06","75,36666666666368","75,36666666666368","1","0","37,75","1","0","0","0","5699"
"gallery","2","field","move","victory","9,68","8","108,42647288046152","0,39999999999999997","3,3333333333333264","36","23","9,75","0","3,25","0","4","7026"
"gallery","2","field","stationary","victory","49,72","84","0,000540314121754588","99,43333333332897","0","3","12","41","0,25","0","0","4","7005"
"gallery","2","field","back-wall","active","100","142","0,001777150265930551","200,0000000000513","200,0000000000513","2","17","92","15,75","0","0","4","7102"
"gallery","2","field","corner","active","100","98","5,144226596439443E-06","200,0000000000513","200,0000000000513","1","12","43,5","0,5","0","0","4","6751"
"gallery","2","structure","move","victory","7,38","0","82,17144016837885","0,3333333333333333","2,716666666666662","34","0","7,5","0","1,75","0","0","7149"
"gallery","2","structure","stationary","victory","82,43","100","0,0004350523190812482","164,86666666669","0","3","0","18,75","0","0","0","0","7388"
"gallery","2","structure","back-wall","active","100","100","0,0012306948826297697","200,0000000000513","200,0000000000513","2","0","19,25","0","0","0","0","8295"
"gallery","2","structure","corner","active","100","184","5,144226596439443E-06","200,0000000000513","200,0000000000513","1","0","33,25","0","0","0","0","8125"
"gallery","2","basin","move","victory","7,22","0","84,0174605527941","0,21666666666666665","1,816666666666665","31","17","6,5","0","1,5","0","2","6827"
"gallery","2","basin","stationary","active","100","100","0,0004960874753312482","200,0000000000513","0","3","16","18,5","0","0","0","2","6886"
"gallery","2","basin","back-wall","active","100","100","0,0012306948826297697","200,0000000000513","200,0000000000513","2","29","19,25","0","0","0","2","6937"
"gallery","2","basin","corner","defeat","38,1","200","5,144226596439443E-06","76,19999999999696","76,19999999999696","1","18","36,75","0,25","0","0","2","7088"
"rotunda","1","base","move","victory","23,87","14","151,8742872093256","0,49999999999999994","2,2999999999999967","39","0","23,5","9,25","0","0","0","4309"
"rotunda","1","base","stationary","defeat","14,03","100","0,004595801970694754","14,03333333333361","0","1","0","13,5","0","0","0","0","4574"
"rotunda","1","base","back-wall","defeat","16,37","100","0,003916223293514838","16,36666666666702","16,36666666666702","1","0","16,5","0","0","0","0","4528"
"rotunda","1","base","corner","defeat","16,35","100","2,6973982946486263E-07","16,350000000000353","16,350000000000353","1","0","16,5","0","0","0","0","4571"
"rotunda","1","reaction","move","victory","16,52","0","95,33491655071353","0,39999999999999997","1,266666666666667","39","0","15,75","2,25","0","0","0","4430"
"rotunda","1","reaction","stationary","defeat","18,33","100","4,559303671268859E-06","18,333333333333574","0","1","0","18,5","0","0","0","0","4370"
"rotunda","1","reaction","back-wall","defeat","18,45","100","0,00018020061008866713","18,450000000000234","18,450000000000234","1","0","18,5","0","0","0","0","4191"
"rotunda","1","reaction","corner","defeat","18,43","100","2,6973982946486263E-07","18,433333333333568","18,433333333333568","1","0","18,5","0","0","0","0","4158"
"rotunda","1","field","move","victory","14,55","0","85,90076629565043","0,24999999999999997","1,1333333333333342","28","15","13,5","1","0","0","2","5003"
"rotunda","1","field","stationary","defeat","14,42","100","0,004523374125176949","14,416666666666963","0","2","6","14,5","0","0","0","2","4931"
"rotunda","1","field","back-wall","defeat","16,37","100","0,004568310209143159","16,36666666666702","16,36666666666702","1","16","16,5","0","0","0","2","4916"
"rotunda","1","field","corner","active","100","84","2,6973982946486263E-07","99,99999999999561","99,99999999999561","1","12","41,5","0","0","0","2","5160"
"rotunda","1","structure","move","victory","11,5","0","69,22405821144206","0,16666666666666666","1,7999999999999985","33","0","8,5","4,25","0","0","0","5226"
"rotunda","1","structure","stationary","victory","26,92","70","4,559303671268859E-06","26,91666666666642","0","1","0","11,5","0","0","0","0","5532"
"rotunda","1","structure","back-wall","defeat","18,45","100","0,00018020061008866713","18,450000000000234","18,450000000000234","1","0","18,5","0","0","0","0","5491"
"rotunda","1","structure","corner","defeat","18,68","100","2,6973982946486263E-07","18,683333333333554","18,683333333333554","1","0","18,75","0","0","0","0","5457"
"rotunda","1","basin","move","victory","11,45","0","65,64815806159524","0,19999999999999998","0,41666666666666663","25","15","10,25","0,25","0","0","1","5388"
"rotunda","1","basin","stationary","victory","57,68","98","4,559303671268859E-06","57,68333333333134","0","1","10","15,75","0,25","0","0","1","5154"
"rotunda","1","basin","back-wall","defeat","18,45","100","0,00018020061008866713","18,450000000000234","18,450000000000234","1","9","18,5","0","0","0","1","5135"
"rotunda","1","basin","corner","defeat","18,43","100","2,6973982946486263E-07","18,433333333333568","18,433333333333568","1","6","18,5","0","0","0","1","5144"
"rotunda","2","base","move","victory","14,38","14","172,57582645472385","0,6833333333333338","4,033333333333324","44","0","13,75","0,25","1,5","0","0","5338"
"rotunda","2","base","stationary","victory","12,85","164","0,0004083590943929991","25,69999999999982","0","3","0","13","0","0","0","0","5877"
"rotunda","2","base","back-wall","defeat","18,82","200","0,00018301394932135502","37,63333333333248","37,63333333333248","2","0","19","0","0","0","0","5896"
"rotunda","2","base","corner","active","100","100","5,394796589297253E-07","200,0000000000513","200,0000000000513","2","0","17","0","0","0","0","5755"
"rotunda","2","reaction","move","victory","10,22","14","116,19905267678871","0,39999999999999997","1,8833333333333315","38","0","9,5","0","0,5","0","0","5207"
"rotunda","2","reaction","stationary","defeat","18,72","200","1,5262948675745295E-05","37,43333333333249","0","3","0","18,75","0","0","0","0","4835"
"rotunda","2","reaction","back-wall","defeat","18,82","200","0,00018301394932135502","37,63333333333248","37,63333333333248","2","0","19","0","0","0","0","4891"
"rotunda","2","reaction","corner","defeat","37,67","200","5,394796589297253E-07","75,33333333333034","75,33333333333034","2","0","37,75","0","0","0","0","4871"
"rotunda","2","field","move","victory","9,35","0","110,38742249319232","0,3833333333333333","1,4166666666666665","42","20","9","0","1,25","0","4","6483"
"rotunda","2","field","stationary","victory","33,95","84","1,5262948675745295E-05","67,89999999999743","0","3","17","34","0","0","0","4","6900"
"rotunda","2","field","back-wall","victory","42,05","112","0,00040808108799323","84,09999999999651","84,09999999999651","2","17","42,25","0","0","0","4","6879"
"rotunda","2","field","corner","active","100","56","5,394796589297253E-07","200,0000000000513","200,0000000000513","2","11","29,25","0","0","0","4","6422"
"rotunda","2","structure","move","victory","6,58","0","73,69745534496903","0,26666666666666666","0,5166666666666666","33","0","6,25","0","0,75","0","0","7430"
"rotunda","2","structure","stationary","victory","11,43","112","1,5262948675745295E-05","22,86666666666665","0","3","0","11,5","0","0","0","0","7739"
"rotunda","2","structure","back-wall","defeat","19,07","200","0,00018301394932135502","38,13333333333245","38,13333333333245","2","0","19,25","0","0","0","0","7577"
"rotunda","2","structure","corner","active","100","98","5,394796589297253E-07","200,0000000000513","200,0000000000513","2","0","17","0","0","0","0","7557"
"rotunda","2","basin","move","victory","6,75","0","78,09669194134484","0,18333333333333332","0,16666666666666666","35","15","6","0,5","0,25","0","2","6597"
"rotunda","2","basin","stationary","victory","13,28","140","1,5262948675745295E-05","26,56666666666644","0","3","10","13,5","0,5","0","0","2","6820"
"rotunda","2","basin","back-wall","defeat","18,82","200","0,00018301394932135502","37,63333333333248","37,63333333333248","2","10","19","0,25","0","0","2","6919"
"rotunda","2","basin","corner","active","100","100","5,394796589297253E-07","200,0000000000513","200,0000000000513","2","11","17","0","0","0","2","6801"
"terrace","1","base","move","active","100","0","609,9411181089718","0,44999999999999996","19,31666666666685","41","0","99,25","4,5","0","0","0","5382"
"terrace","1","base","stationary","defeat","25,68","100","0,006476994655713353","25,683333333333156","0","1","0","16","8,5","0","0","0","4694"
"terrace","1","base","back-wall","defeat","28,15","100","0,00485451557236542","28,149999999999682","28,149999999999682","1","0","19","13,75","0","0","0","4986"
"terrace","1","base","corner","defeat","18,47","100","0,003192717679758276","18,4666666666669","18,4666666666669","1","0","18,5","0","0","0","0","5059"
"terrace","1","reaction","move","active","100","0","614,0553038403256","0,8000000000000008","20,68333333333344","32","0","99,25","1,5","0","0","0","5081"
"terrace","1","reaction","stationary","defeat","27,83","100","0,004806022060474355","27,833333333333034","0","1","0","18,25","5,25","0","0","0","4613"
"terrace","1","reaction","back-wall","defeat","28,15","100","0,00485451557236542","28,149999999999682","28,149999999999682","1","0","19","13,75","0","0","0","4821"
"terrace","1","reaction","corner","defeat","18,47","100","0,003192717679758276","18,4666666666669","18,4666666666669","1","0","18,5","0","0","0","0","4667"
"terrace","1","field","move","victory","30,97","14","188,3226789864994","0,06666666666666667","4,783333333333322","26","13","30,25","2","0","0","2","5673"
"terrace","1","field","stationary","defeat","23,53","100","0,011834582967164387","23,533333333333278","0","1","5","14","4","0","0","2","5419"
"terrace","1","field","back-wall","defeat","28,15","100","0,00485451557236542","28,149999999999682","28,149999999999682","1","10","19","7,5","0","0","2","5490"
"terrace","1","field","corner","active","100","84","0,01725273812653562","99,99999999999561","99,99999999999561","1","8","42","0","0","0","2","5743"
"terrace","1","structure","move","victory","11,15","0","60,388345116327386","0","0,7500000000000007","22","0","4,75","0","0","0","0","5617"
"terrace","1","structure","stationary","defeat","27,83","100","0,004806022060474355","27,833333333333034","0","1","0","18,25","0","0","0","0","5636"
"terrace","1","structure","back-wall","defeat","28,15","100","0,00485451557236542","28,149999999999682","28,149999999999682","1","0","19","2,25","0","0","0","5957"
"terrace","1","structure","corner","defeat","18,47","100","0,003192717679758276","18,4666666666669","18,4666666666669","1","0","18,5","0","0","0","0","5903"
"terrace","1","basin","move","active","100","0","512,3145532479357","0","12,96666666666689","25","14","6,25","0","0","0","1","5543"
"terrace","1","basin","stationary","defeat","27,83","100","0,004806022060474355","27,833333333333034","0","1","8","18,25","2,5","0","0","1","5165"
"terrace","1","basin","back-wall","defeat","28,15","100","0,00485451557236542","28,149999999999682","28,149999999999682","1","8","19","14","0","0","1","5539"
"terrace","1","basin","corner","defeat","18,47","100","0,003192717679758276","18,4666666666669","18,4666666666669","1","4","18,5","0","0","0","1","5637"
"terrace","2","base","move","victory","22,9","14","264,4296414287707","0,18333333333333332","4,9166666666666545","40","0","14,75","0,25","2,5","0","0","5777"
"terrace","2","base","stationary","victory","25,83","96","0,008919159088514128","51,666666666665016","0","2","0","26","2,5","0","0","0","5905"
"terrace","2","base","back-wall","defeat","38,07","200","0,009861812039379182","76,1333333333303","76,1333333333303","2","0","38,25","13,75","0","0","0","5920"
"terrace","2","base","corner","active","100","100","0,020457256923035183","200,0000000000513","200,0000000000513","2","0","18,75","0","0","0","0","6525"
"terrace","2","reaction","move","victory","68,22","0","720,8731345910754","0,03333333333333333","15,000000000000325","41","0","11,25","0,25","17,5","0","0","6247"
"terrace","2","reaction","stationary","defeat","36,3","200","0,009489229388128519","72,59999999999717","0","2","0","36,5","3","0","0","0","5495"
"terrace","2","reaction","back-wall","defeat","38,07","200","0,009861812039379182","76,1333333333303","76,1333333333303","2","0","38,25","13,75","0","0","0","5256"
"terrace","2","reaction","corner","defeat","37,68","200","0,009727467189148463","75,36666666666368","75,36666666666368","2","0","37,75","0","0","0","0","5716"
"terrace","2","field","move","victory","16,02","4","183,92307473786036","0,11666666666666665","3,383333333333326","45","16","10,75","0","3","0","4","7217"
"terrace","2","field","stationary","victory","40,22","84","0,01412848232368741","80,43333333333005","0","2","11","40,25","3","0","0","4","7003"
"terrace","2","field","back-wall","victory","47,65","84","0,016564379293968232","95,29999999999588","95,29999999999588","2","12","47,75","7,25","0","0","4","6914"
"terrace","2","field","corner","active","100","100","0,02300283963544489","200,0000000000513","200,0000000000513","2","8","33","0","0","0","4","7297"
"terrace","2","structure","move","victory","5,42","0","62,553934111712444","0","0,5666666666666668","22","0","5,5","0","0","0","0","6787"
"terrace","2","structure","stationary","victory","12,87","70","0,00441839011614209","25,733333333333153","0","2","0","13","0","0","0","0","7508"
"terrace","2","structure","back-wall","victory","30,43","170","0,008542443624991078","60,86666666666449","60,86666666666449","2","0","30,5","0,25","0","0","0","7471"
"terrace","2","structure","corner","active","100","100","0,020457256923035183","200,0000000000513","200,0000000000513","2","0","18,5","0","0","0","0","8262"
"terrace","2","basin","move","victory","11,68","0","141,35237501726508","0,016666666666666666","3,0333333333333274","42","22","5,5","0","3","0","2","7034"
"terrace","2","basin","stationary","victory","26,72","98","0,009223858042759329","53,43333333333158","0","2","13","26,75","0","0","0","2","6795"
"terrace","2","basin","back-wall","defeat","38,47","200","0,009933551107860662","76,93333333333025","76,93333333333025","2","17","38,5","14","0","0","2","6538"
"terrace","2","basin","corner","active","100","100","0,020457256923035183","200,0000000000513","200,0000000000513","2","12","18,5","0,25","0","0","2","7313"
"broken","1","base","move","victory","20,88","0","124,19863396463236","0,55","3,1166666666666605","41","0","21","5","0","0","0","4716"
"broken","1","base","stationary","defeat","10,3","100","0","10,300000000000091","0","1","0","10,5","4,25","0","0","0","4305"
"broken","1","base","back-wall","defeat","10,05","100","0,0033385249801172277","10,050000000000079","10,050000000000079","1","0","10,25","1","0","0","0","4436"
"broken","1","base","corner","defeat","15,2","100","1,2234141458711126E-06","15,200000000000335","15,200000000000335","1","0","15,25","12,5","0","0","0","5060"
"broken","1","reaction","move","victory","17,02","0","101,42343295238985","0,4666666666666666","2,3999999999999964","30","0","17","7,75","0","0","0","4846"
"broken","1","reaction","stationary","defeat","10,3","100","0","10,300000000000091","0","1","0","10,5","2,75","0","0","0","4508"
"broken","1","reaction","back-wall","defeat","10,2","100","0,00011692219125257858","10,200000000000086","10,200000000000086","1","0","10,25","0","0","0","0","4105"
"broken","1","reaction","corner","defeat","15,2","100","1,2234141458711126E-06","15,200000000000335","15,200000000000335","1","0","15,25","12,5","0","0","0","4632"
"broken","1","field","move","victory","15,42","0","91,67324552374218","0,3333333333333333","2,166666666666664","30","16","15,5","7,75","0","0","2","5188"
"broken","1","field","stationary","defeat","10,3","100","0","10,300000000000091","0","1","3","10,5","6,5","0","0","2","4806"
"broken","1","field","back-wall","defeat","12,58","100","0,00014231607495578146","12,583333333333538","12,583333333333538","1","6","12,75","0,25","0","0","2","5112"
"broken","1","field","corner","defeat","38,25","100","1,2234141458711126E-06","38,24999999999911","38,24999999999911","1","9","38,25","35,5","0","0","2","5417"
"broken","1","structure","move","victory","11,3","0","70,80240643786523","0,31666666666666665","1,4499999999999997","24","1","11,5","1,5","0","0","1","5652"
"broken","1","structure","stationary","defeat","10,3","100","0","10,300000000000091","0","1","0","10,5","4,75","0","0","0","4729"
"broken","1","structure","back-wall","defeat","12,3","100","0,0001391418394928811","12,30000000000019","12,30000000000019","1","0","12,5","0","0","0","0","5152"
"broken","1","structure","corner","defeat","15,2","100","1,2234141458711126E-06","15,200000000000335","15,200000000000335","1","0","15,25","12,5","0","0","0","5979"
"broken","1","basin","move","victory","9,98","0","56,33808546059715","0,21666666666666665","1,2500000000000004","25","10","10","0,5","0","0","1","5282"
"broken","1","basin","stationary","defeat","10,3","100","0","10,300000000000091","0","1","4","10,5","3","0","0","1","4972"
"broken","1","basin","back-wall","defeat","12,3","100","0,0001391418394928811","12,30000000000019","12,30000000000019","1","9","12,5","0","0","0","1","5250"
"broken","1","basin","corner","defeat","15,2","100","1,2234141458711126E-06","15,200000000000335","15,200000000000335","1","5","15,25","12,5","0","0","1","5581"
"broken","2","base","move","victory","11,88","0","146,48315787556456","0,41666666666666663","4,083333333333324","39","0","12","1,75","0,75","0","0","5245"
"broken","2","base","stationary","defeat","24,87","200","1,1511867343774294E-06","49,73333333333179","0","2","0","25","1","0","0","0","5554"
"broken","2","base","back-wall","victory","14,18","112","0,000503570796005648","28,366666666666337","28,366666666666337","2","0","14,25","0","0","0","0","5361"
"broken","2","base","corner","defeat","21,47","200","2,446828291742225E-06","42,93333333333218","42,93333333333218","1","0","21,5","3,5","0","0","0","5984"
"broken","2","reaction","move","victory","10,2","0","119,42441559030675","0,39999999999999997","2,9833333333333276","35","0","10,25","1","2,25","0","0","5656"
"broken","2","reaction","stationary","defeat","20,68","200","1,1511867343774294E-06","41,3666666666656","0","2","0","20,75","0,75","0","0","0","5068"
"broken","2","reaction","back-wall","defeat","33,38","200","0,0004335104124841073","66,76666666666416","66,76666666666416","2","0","33,5","0","0","0","0","5071"
"broken","2","reaction","corner","defeat","21,47","200","2,446828291742225E-06","42,93333333333218","42,93333333333218","1","0","21,5","18,75","0","0","0","5384"
"broken","2","field","move","victory","7,25","28","112,74755253645817","0,16666666666666666","0,4666666666666666","34","5","7,25","0,75","0,25","2","4","6860"
"broken","2","field","stationary","victory","36,95","114","1,1511867343774294E-06","73,89999999999709","0","2","10","37","0","0","0","4","6602"
"broken","2","field","back-wall","victory","32,35","98","0,00048009788450653417","64,69999999999762","64,69999999999762","2","9","32,5","0","0","0","4","6446"
"broken","2","field","corner","defeat","49,32","200","2,446828291742225E-06","98,63333333332902","98,63333333332902","1","9","49,5","46,75","0","0","4","6546"
"broken","2","structure","move","victory","7,52","0","93,02719533857477","0,18333333333333332","1,7833333333333319","36","0","7,5","0","0,25","0","0","6974"
"broken","2","structure","stationary","defeat","33,38","200","1,1511867343774294E-06","66,76666666666416","0","2","0","33,5","0","0","0","0","6946"
"broken","2","structure","back-wall","victory","9,48","42","0,00014168407653797184","18,96666666666687","18,96666666666687","2","0","9,5","0,25","0","0","0","6843"
"broken","2","structure","corner","defeat","21,47","200","2,446828291742225E-06","42,93333333333218","42,93333333333218","1","0","21,5","18,75","0","0","0","7212"
"broken","2","basin","move","victory","7,43","0","89,52476739592194","0,2333333333333333","1,2500000000000004","28","14","7,5","1","0","0","2","6994"
"broken","2","basin","stationary","victory","26,28","184","1,1511867343774294E-06","52,566666666664965","0","2","13","26,5","0","0","0","2","6624"
"broken","2","basin","back-wall","victory","11,18","70","0,0001666899537929131","22,366666666666678","22,366666666666678","2","14","11,25","0,25","0","0","2","6851"
"broken","2","basin","corner","defeat","21,52","200","2,446828291742225E-06","43,03333333333217","43,03333333333217","1","13","21,5","3,5","0","0","2","6909"
"yard","1","base","move","victory","21,7","0","122,4904942005373","0,2833333333333333","1,816666666666665","30","0","21,75","0","0","0","0","5443"
"yard","1","base","stationary","defeat","23,38","100","4,76837158203125E-07","23,383333333333287","0","1","0","23,5","0","0","0","0","5654"
"yard","1","base","back-wall","defeat","23,05","100","0,00722364768210175","23,049999999999972","23,049999999999972","1","0","23,25","0","0","0","0","5773"
"yard","1","base","corner","defeat","36,43","100","2,6973982946486263E-07","36,43333333333255","36,43333333333255","1","0","36,5","0","0","0","0","6133"
"yard","1","reaction","move","victory","15,32","0","86,02677211041515","0,36666666666666664","0,8333333333333343","24","0","15,5","0","0","0","0","6121"
"yard","1","reaction","stationary","defeat","35,78","100","4,76837158203125E-07","35,783333333332585","0","1","0","36","0","0","0","0","5391"
"yard","1","reaction","back-wall","defeat","27,27","100","0,003177219011653421","27,2666666666664","27,2666666666664","1","0","27,25","0","0","0","0","5429"
"yard","1","reaction","corner","defeat","36,43","100","2,6973982946486263E-07","36,43333333333255","36,43333333333255","1","0","36,5","0","0","0","0","5792"
